REC_ID,Species,Continent.of.Origin,Country.of.Origin,Harvest.Year,Expiration,Variety,Color,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Quakers,Category.One.Defects,Category.Two.Defects,total_production,avg_production,Latitude,Longitude
0,Arabica,Africa,Ethiopia,2014.0,04/03/16,,Green,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,0.12,0,0,0,26008560000.0,1354612500.0,10.2116702,38.6521203
1,Arabica,Africa,Ethiopia,2014.0,04/03/16,Other,Green,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,0.12,0,0,1,26008560000.0,1354612500.0,10.2116702,38.6521203
2,Arabica,North America,Guatemala,,05/31/11,Bourbon,,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,0.0,0,0,0,21061620000.0,1096959375.0,15.5855545,-90.345759
3,Arabica,Africa,Ethiopia,2014.0,03/25/16,,Green,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,0.11,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
4,Arabica,Africa,Ethiopia,2014.0,04/03/16,Other,Green,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,0.12,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
5,Arabica,South America,Brazil,2013.0,09/03/14,,Bluish-Green,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,0.11,0,0,1,225248940000.0,11731715625.0,-10.3333333,-53.2
6,Arabica,South America,Peru,2012.0,09/17/13,Other,Bluish-Green,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,0.11,0,0,0,15952860000.0,830878125.0,-6.8699697,-75.0458515
7,Arabica,Africa,Ethiopia,2010.0,09/02/11,,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,0.03,0,0,0,26008560000.0,1354612500.0,10.2116702,38.6521203
8,Arabica,Africa,Ethiopia,2010.0,09/02/11,,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,0.03,0,0,0,26008560000.0,1354612500.0,10.2116702,38.6521203
9,Arabica,Africa,Ethiopia,2014.0,03/29/16,Other,Green,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,0.1,0,0,4,26008560000.0,1354612500.0,10.2116702,38.6521203
10,Arabica,Africa,Ethiopia,2014.0,03/26/16,,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,0.1,0,0,1,26008560000.0,1354612500.0,10.2116702,38.6521203
11,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
12,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
13,Arabica,North America,United States,2009.0,05/31/11,,,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,0.0,0,0,2,0.0,0.0,39.7837304,-100.445882
14,Arabica,Africa,Ethiopia,2010.0,08/31/11,,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,0.05,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
15,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
16,Arabica,Asia,Indonesia,,05/31/11,,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,0.03,0,0,0,46214640000.0,2407012500.0,-2.4833826,117.8902853
17,Arabica,Africa,Ethiopia,2009.0,06/16/11,,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,0.05,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
18,Arabica,Asia,China,2015.0,04/07/17,Catimor,Green,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,0.1,0,0,0,0.0,0.0,35.000074,104.999927
19,Arabica,Africa,Ethiopia,2014.0,03/24/16,Ethiopian Yirgacheffe,,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,0.0,0,0,8,26008560000.0,1354612500.0,10.2116702,38.6521203
20,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
21,Arabica,North America,Costa Rica,2014.0,04/02/15,Caturra,Green,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,0.11,0,0,2,10790100000.0,561984375.0,10.2735633,-84.0739102
22,Arabica,North America,Mexico,2012.0,07/26/13,Other,Green,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,0.13,0,0,0,23560560000.0,1227112500.0,19.4326296,-99.1331785
23,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
24,Arabica,Africa,Ethiopia,2013.0,09/03/14,,Bluish-Green,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,0.11,0,0,1,26008560000.0,1354612500.0,10.2116702,38.6521203
25,Arabica,South America,Brazil,2011.0,12/02/12,Bourbon,Green,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,0.12,0,0,2,225248940000.0,11731715625.0,-10.3333333,-53.2
26,Arabica,Africa,Ethiopia,2009.0,06/16/11,,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,0.05,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
27,Arabica,Africa,Uganda,2013.0,06/26/15,SL14,Green,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,0.12,0,0,1,17758440000.0,924918750.0,1.5333554,32.2166578
28,Arabica,North America,Honduras,2016.0,05/18/18,Caturra,Green,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,0.1,0,0,3,20018160000.0,1042612500.0,15.2572432,-86.0755145
29,Arabica,Asia,Taiwan,2015.0,05/18/17,Sumatra,Green,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,23.5983227,120.83537694479215
30,Arabica,North America,Nicaragua,,05/18/11,,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,0.08,0,0,2,8248140000.0,429590625.0,12.6090157,-85.2936911
31,Arabica,Africa,Tanzania,2012.0,09/03/14,,Bluish-Green,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,0.11,0,0,1,4424040000.0,230418750.0,-6.5247123,35.7878438
32,Arabica,South America,Brazil,2011.0,12/02/12,Bourbon,Green,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,0.12,0,0,2,225248940000.0,11731715625.0,-10.3333333,-53.2
